Data;Temperatura Media (C);Temperatura Minima (C);Temperatura Maxima (C);Precipitacao (mm);Final de Semana;Consumo de cerveja (litros)
01/01/2015;27,3;23,9;32,5;0;0;25461,00
02/01/2015;27,02;24,5;33,5;0;0;28972,00
03/01/2015;24,82;22,4;29,9;0;1;30814,00
04/01/2015;23,98;21,5;28,6;1,2;1;29799,00
05/01/2015;23,82;21;28,3;0;0;28900,00
06/01/2015;23,78;20,1;30,5;12,2;0;28218,00
07/01/2015;24;19,5;33,7;0;0;29732,00
08/01/2015;24,9;19,5;32,8;48,6;0;28397,00
09/01/2015;28,2;21,9;34;4,4;0;24886,00
10/01/2015;26,76;22,1;34,2;0;1;37937,00
11/01/2015;27,62;22,2;34,8;3,4;1;36254,00
12/01/2015;25,96;21,4;35,4;0;0;25743,00
13/01/2015;25,52;21,2;34,8;0,8;0;26990,00
14/01/2015;25,96;21,3;34;1,6;0;31825,00
15/01/2015;25,86;21,5;32,8;3;0;25724,00
16/01/2015;26,5;22,3;32,7;2;0;29938,00
17/01/2015;28,86;22;35,8;0;1;37690,00
18/01/2015;28,26;23,4;35,6;0;1;30524,00
19/01/2015;28,22;22,7;36,5;3,7;0;29265,00
20/01/2015;27,68;23,3;35,6;0,6;0;35127,00
21/01/2015;25,32;22,7;30,9;0;0;29130,00
22/01/2015;21,74;19,2;26,1;31;0;25795,00
23/01/2015;21,04;18,5;26,1;3,6;0;21784,00
24/01/2015;23,12;19;29,4;13;1;28348,00
25/01/2015;24,4;18,1;30;0;1;31088,00
26/01/2015;22,4;18,9;28,7;20,8;0;21520,00
27/01/2015;23,6;20,5;28,7;1,2;0;29972,00
28/01/2015;25,68;20,1;29,9;4,9;0;22603,00
29/01/2015;25;21,5;29,2;0;0;22696,00
30/01/2015;22,8;20,9;26,9;0;0;26845,00
31/01/2015;21,64;18,5;24,3;0,2;1;27030,00
01/02/2015;24,16;20,6;28;0;1;32057,00
02/02/2015;22,48;20,7;26,5;4,5;0;24097,00
03/02/2015;23,16;18;31,1;1,6;0;31655,00
04/02/2015;22,12;19,9;23,7;3,2;0;24738,00
05/02/2015;20,28;19,1;22,9;5,6;0;19950,00
06/02/2015;21,06;17,9;25,4;18,4;0;22821,00
07/02/2015;21,86;17,3;28,7;16,7;1;28893,00
08/02/2015;22,76;17,1;29,5;10,4;1;29926,00
09/02/2015;24;19,3;30,7;0;0;24062,00
10/02/2015;23,92;20,1;29;32,2;0;21137,00
11/02/2015;25,38;19,9;30,4;2,2;0;26805,00
12/02/2015;27,66;23,1;32,7;0;0;26389,00
13/02/2015;25,54;22,5;32,1;0;0;24219,00
14/02/2015;24,32;21,1;31,6;0;1;30231,00
15/02/2015;22,9;20;27,6;17,4;1;24968,00
16/02/2015;21,6;18,8;27,3;22,7;0;25343,00
17/02/2015;22,76;19,7;28;85,3;0;17399,00
18/02/2015;22,22;19,9;26,4;13,4;0;21392,00
19/02/2015;23,92;19,9;28,5;2,4;0;22922,00
20/02/2015;24,72;21,7;28,2;0;0;24567,00
21/02/2015;25,2;21,4;31,1;0;1;30943,00
22/02/2015;24,44;20,4;30,8;0;1;30825,00
23/02/2015;25,4;20,7;31,4;0;0;25692,00
24/02/2015;24,3;20,5;31,9;0;0;26959,00
25/02/2015;22,24;19,3;29,3;2;0;25366,00
26/02/2015;24,1;19,2;30,3;34,4;0;22784,00
27/02/2015;24,64;20,4;31,4;0,6;0;26241,00
28/02/2015;22,4;19,7;27,7;0;1;26467,00
01/03/2015;21,26;18,2;26,3;3;1;27475,00
02/03/2015;22,16;17,2;29,2;0;0;28749,00
03/03/2015;23,16;19,5;29,5;0;0;24146,00
04/03/2015;23,68;18,9;30,5;0;0;22988,00
05/03/2015;24,42;19,7;31,6;0;0;30300,00
06/03/2015;22,6;19,4;28,5;0;0;22654,00
07/03/2015;21,92;19,4;26,6;38,2;1;29090,00
08/03/2015;22,2;19,7;24,4;69,2;1;24619,00
09/03/2015;21,36;19,7;23,3;77;0;20016,00
10/03/2015;23,12;21,2;26,9;9,7;0;23042,00
11/03/2015;22,88;20,1;28,1;9,5;0;22933,00
12/03/2015;22,26;19,2;26,9;1,2;0;22409,00
13/03/2015;22,34;20;26,6;0;0;21281,00
14/03/2015;22,88;19,9;27,9;12,2;1;28844,00
15/03/2015;22,08;19,1;26,8;0,3;1;32872,00
16/03/2015;21,92;18,6;29,4;22,4;0;20903,00
17/03/2015;21,92;18,6;25,6;24,2;0;26275,00
18/03/2015;21,24;19,7;24,1;0;0;20167,00
19/03/2015;21,78;19,2;27,1;3,2;0;23628,00
20/03/2015;21,64;18,9;28,2;7,4;0;24213,00
21/03/2015;20,88;18,5;25,3;14,7;1;28631,00
22/03/2015;19,7;18,1;22,8;1,7;1;25855,00
23/03/2015;19,88;17,1;23,3;19,2;0;21406,00
24/03/2015;20,98;17,4;26,3;0;0;21617,00
25/03/2015;21,56;17,1;27,9;0;0;22401,00
26/03/2015;22,98;18,3;29,8;0;0;27989,00
27/03/2015;23,32;18;30,8;0;0;24974,00
28/03/2015;23,28;19,1;29,5;0;1;29760,00
29/03/2015;22,14;20,5;26,6;0;1;26116,00
30/03/2015;22,5;19;25,9;18,6;0;25850,00
31/03/2015;23,14;20,1;29;1;0;24925,00
01/04/2015;22,52;19,2;27,5;0;0;21979,00
02/04/2015;20,92;18,2;26,2;0;0;22116,00
03/04/2015;21,02;16,3;27,2;0;0;24867,00
04/04/2015;22,36;17,9;29,4;0;1;33450,00
05/04/2015;22,82;20,1;26,4;0;1;32713,00
06/04/2015;21,36;18,5;27,7;0;0;22356,00
07/04/2015;17,38;16,1;20;7,1;0;21004,00
08/04/2015;18,68;14,7;24,3;0,4;0;23362,00
09/04/2015;19,4;15,9;25,6;0;0;20298,00
10/04/2015;20,46;17;25,5;0;0;24862,00
11/04/2015;21,74;17,2;28,4;0;1;30505,00
12/04/2015;19,92;16,8;25,7;0;1;25070,00
13/04/2015;20,88;18,1;25,7;0;0;22620,00
14/04/2015;21,7;18,4;28,8;0;0;22001,00
15/04/2015;21,94;18,5;27,4;0;0;23469,00
16/04/2015;21,26;18,6;26,7;25,4;0;21735,00
17/04/2015;21,42;18,4;27;37,2;0;21593,00
18/04/2015;23,36;18,2;29,3;0;1;33822,00
19/04/2015;22,5;20,3;27,2;0;1;28028,00
20/04/2015;24;19,3;29,2;20,2;0;24304,00
21/04/2015;22,52;19,3;29;0;0;31108,00
22/04/2015;20,06;18,9;21,6;2,4;0;19113,00
23/04/2015;21,2;18,6;24,9;14,6;0;23198,00
24/04/2015;22,52;19,3;28,1;0;0;24388,00
25/04/2015;19,18;17,4;23,3;0;1;27420,00
26/04/2015;19,04;16,1;23,7;0,8;1;30479,00
27/04/2015;19,82;17,5;24,9;0;0;21838,00
28/04/2015;20,26;17,2;26,9;0;0;20812,00
29/04/2015;18,66;16,8;22,7;0;0;19761,00
30/04/2015;16,22;14,7;18,7;0;0;20452,00
01/05/2015;17,34;13,4;22;0;0;17939,00
02/05/2015;19,26;14,7;26,4;0;1;25272,00
03/05/2015;21,04;15,8;26,3;0;1;28049,00
04/05/2015;19,96;17,9;22,3;1;0;25317,00
05/05/2015;18,14;16,6;20,8;9,9;0;21826,00
06/05/2015;17,76;15,9;20,4;0;0;20680,00
07/05/2015;17,8;15,8;21,7;0;0;19143,00
08/05/2015;16,14;13,9;19,2;0;0;18146,00
09/05/2015;18,04;13,7;26,1;0;1;25489,00
10/05/2015;16,94;13,7;21;0;1;23537,00
11/05/2015;17,86;15,7;20,6;22,2;0;16956,00
12/05/2015;17,12;14,2;21,7;0;0;19052,00
13/05/2015;16,34;14,7;18,9;2,8;0;17287,00
14/05/2015;16,72;14,2;21;0;0;20300,00
15/05/2015;16,84;13,6;21,5;0;0;20538,00
16/05/2015;17,18;13,2;22,3;0;1;23702,00
17/05/2015;18,26;15,4;22,4;0;1;28411,00
18/05/2015;18,6;16,6;21,3;0;0;21073,00
19/05/2015;18,64;17;22,9;0;0;24215,00
20/05/2015;18,74;15,9;23,3;0,2;0;19525,00
21/05/2015;19,46;16,3;25;0;0;20786,00
22/05/2015;20,26;16,3;25,4;0;0;20429,00
23/05/2015;19,94;15,9;24,4;0;1;27250,00
24/05/2015;21,8;17,9;26,3;0;1;31387,00
25/05/2015;22,06;17,5;27,4;0;0;26075,00
26/05/2015;21,28;19,7;24,8;0;0;22162,00
27/05/2015;22,94;19,7;27,1;0;0;24258,00
28/05/2015;18,56;16,8;23,2;1,8;0;24683,00
29/05/2015;17,68;15,3;21,9;7,2;0;21245,00
30/05/2015;17,52;13,1;22,9;0;1;25937,00
31/05/2015;16,28;13,6;18,4;5,6;1;26081,00
01/06/2015;16,28;15,2;18;2,2;0;16228,00
02/06/2015;16,04;15;17,5;0,5;0;20106,00
03/06/2015;17,94;15;21,7;0;0;21055,00
04/06/2015;18,36;14,6;24,1;0;0;22772,00
05/06/2015;18,32;14,1;25,3;0;0;25142,00
06/06/2015;19,66;13,8;26,1;0;1;31129,00
07/06/2015;20,62;15,9;26,2;0;1;30498,00
08/06/2015;20,86;15,2;26,4;0;0;26150,00
09/06/2015;20,32;15,2;26;0;0;21327,00
10/06/2015;20,54;15,5;26,2;0;0;22008,00
11/06/2015;22,72;17,5;26,9;0;0;24615,00
12/06/2015;18,8;16,9;23,5;0;0;22375,00
13/06/2015;21,1;15,5;27,4;0;1;29607,00
14/06/2015;22,76;18,1;27,3;0;1;32983,00
15/06/2015;16,02;13,1;23,4;0;0;19119,00
16/06/2015;14,82;12,1;18,1;9;0;21029,00
17/06/2015;19,8;13,9;25,1;0;0;23898,00
18/06/2015;19,88;15,8;26,2;0;0;24534,00
19/06/2015;14,66;13,2;17,7;3,8;0;16748,00
20/06/2015;15,82;12,5;20,4;0;1;23055,00
21/06/2015;17,32;12,6;24,6;0;1;28857,00
22/06/2015;18,54;13,1;24,6;0;0;23022,00
23/06/2015;19,02;14,4;25,5;0;0;27146,00
24/06/2015;14,54;13,9;18;3,8;0;17241,00
25/06/2015;14,72;12,1;17,4;1;0;19463,00
26/06/2015;15,26;12;20,9;0;0;21860,00
27/06/2015;15,34;10,6;20,8;0;1;24227,00
28/06/2015;15,48;11,2;21,8;0;1;27594,00
29/06/2015;17,2;11;24,4;0;0;24863,00
30/06/2015;19,36;13,2;25,1;0;0;20161,00
01/07/2015;17,78;16,2;20,5;0;0;20824,00
02/07/2015;17,2;15,1;19,9;1,6;0;19727,00
03/07/2015;17,52;15,6;18,4;17,8;0;14940,00
04/07/2015;14,94;10,9;21;15,2;1;24632,00
05/07/2015;12,9;11;14,5;4,4;1;21294,00
06/07/2015;15,78;11,3;20,6;0;0;18448,00
07/07/2015;16,8;13,3;20,2;0;0;21237,00
08/07/2015;17,02;14,9;18,7;4,5;0;19849,00
09/07/2015;17,54;15,3;20,4;0;0;20740,00
10/07/2015;19,24;14;25,4;0;0;25698,00
11/07/2015;17,46;16;19,8;0;1;26691,00
12/07/2015;20,32;14;27,4;3;1;33298,00
13/07/2015;22,06;16,7;28,7;0;0;25640,00
14/07/2015;23,3;18,4;29,3;0;0;23937,00
15/07/2015;20,18;17,2;27,6;0;0;28742,00
16/07/2015;19,88;16,2;25,8;0;0;21748,00
17/07/2015;19,14;15,8;24,3;0;0;22032,00
18/07/2015;20,2;18,2;23,8;0;1;24827,00
19/07/2015;19,98;14,6;25,9;0;1;32473,00
20/07/2015;20,56;14,9;25,1;0;0;20620,00
21/07/2015;16,72;14;21,4;0;0;21825,00
22/07/2015;14,52;12,8;16,1;0;0;14343,00
23/07/2015;17,02;13,6;20,6;0;0;19029,00
24/07/2015;18,46;14,3;25,8;0;0;21104,00
25/07/2015;15,9;14,9;17,9;16,6;1;20738,00
26/07/2015;16,82;13,6;22,9;2;1;25233,00
27/07/2015;16,6;11;24,2;0;0;18975,00
28/07/2015;16,46;11,6;24,5;0;0;19640,00
29/07/2015;16,2;11;23,8;0;0;22522,00
30/07/2015;16,76;11,3;26,7;0;0;24227,00
31/07/2015;19,24;12,8;26,6;0;0;24726,00
01/08/2015;19,78;14,3;26,4;0;1;32467,00
02/08/2015;20,1;13,8;26,3;0;1;31663,00
03/08/2015;21,16;14,9;26,9;0;0;25867,00
04/08/2015;21,04;15,2;27,4;0;0;27724,00
05/08/2015;20,96;15;27,2;0;0;22039,00
06/08/2015;21,06;16,3;27,7;0;0;26127,00
07/08/2015;22,08;15,5;28,9;0;0;26580,00
08/08/2015;21,16;16;27,8;0;1;31310,00
09/08/2015;19,62;15,6;26,2;0;1;33517,00
10/08/2015;21,2;15,6;28;0;0;23181,00
11/08/2015;19,6;15,2;27,2;0;0;24183,00
12/08/2015;20,12;14,1;26,6;0;0;24594,00
13/08/2015;20,42;14,1;28,1;0;0;22610,00
14/08/2015;20,86;15,3;27,6;0;0;25479,00
15/08/2015;21,44;15,6;27,8;0;1;29621,00
16/08/2015;20,56;16,2;27,2;0;1;26272,00
17/08/2015;21,58;15,3;28;0;0;22541,00
18/08/2015;21,3;16,7;26,5;0;0;23070,00
19/08/2015;20,74;17,3;28,3;0;0;26021,00
20/08/2015;16,2;14,8;19,6;0;0;17655,00
21/08/2015;16,84;13,2;22,1;1;0;23243,00
22/08/2015;18,08;14,1;26,2;0;1;30177,00
23/08/2015;20,22;13,5;30;0;1;27518,00
24/08/2015;16,98;15,1;20,5;0;0;23210,00
25/08/2015;16,98;14,3;20,5;2,4;0;21092,00
26/08/2015;18,92;14,8;24;0,6;0;23357,00
27/08/2015;16,1;13,8;19,8;2,6;0;17888,00
28/08/2015;16,28;12,8;22,1;25;0;22217,00
29/08/2015;18,46;12,2;26,7;0;1;31681,00
30/08/2015;22,52;14,3;32;0;1;31833,00
31/08/2015;24,54;16,6;32,2;0;0;28441,00
01/09/2015;21,44;17,2;30,7;0;0;22389,00
02/09/2015;16,1;14,1;20,2;0,4;0;20681,00
03/09/2015;19,3;14,8;25;0;0;24222,00
04/09/2015;16,66;15,2;19,3;0;0;19345,00
05/09/2015;16,12;14,4;18,5;2,4;1;21827,00
06/09/2015;16,48;13,3;19,9;0;1;23566,00
07/09/2015;18,72;13,8;24,4;0,1;0;20227,00
08/09/2015;17,08;15,8;19,2;23,6;0;17075,00
09/09/2015;18,82;15,8;22,9;58;0;16977,00
10/09/2015;18,92;13,9;25,6;0;0;21525,00
11/09/2015;16,88;14,1;21,8;31,8;0;21454,00
12/09/2015;14;12,8;15,6;27,6;1;21814,00
13/09/2015;14,18;12,5;16,1;0;1;21252,00
14/09/2015;16,46;13;22,5;0,2;0;20464,00
15/09/2015;21,18;14,4;30,1;0;0;30775,00
16/09/2015;25,24;17,2;32,6;0;0;25343,00
17/09/2015;27,26;20,4;33;0;0;33930,00
18/09/2015;28,06;21,3;34,5;0;0;26311,00
19/09/2015;28;21,1;35,5;0;1;31836,00
20/09/2015;23,6;19,2;33,3;0;1;34695,00
21/09/2015;24,72;17,4;32,8;0;0;29829,00
22/09/2015;25,7;18,9;33,3;0;0;26362,00
23/09/2015;26,14;18,3;34;0;0;32589,00
24/09/2015;28,3;20,5;35,3;0;0;30345,00
25/09/2015;23,24;19,2;30,3;0;0;29411,00
26/09/2015;20,58;18,2;24,9;28,6;1;29637,00
27/09/2015;22,3;18,2;30,6;1,8;1;32184,00
28/09/2015;21,22;17,5;23,6;27,2;0;17731,00
29/09/2015;21,8;17,5;27,1;0;0;24114,00
30/09/2015;21,52;18,6;27,6;0;0;28034,00
01/10/2015;20,96;17,6;26,4;7,6;0;22664,00
02/10/2015;24,74;19,3;32,7;0;0;27488,00
03/10/2015;20,28;16,1;25;25;1;24876,00
04/10/2015;18,6;17,1;21,3;0,2;1;24862,00
05/10/2015;17,36;14,8;22,4;0;0;24679,00
06/10/2015;18,26;14,6;24,7;0;0;22304,00
07/10/2015;24,5;15,9;32,6;0;0;30329,00
08/10/2015;26,56;19,3;34;0;0;33182,00
09/10/2015;24,52;19,8;29;0;0;23849,00
10/10/2015;23,06;19,6;28;0,3;1;33330,00
11/10/2015;22,48;19,6;30;0;1;34496,00
12/10/2015;22,76;19;29,6;0;0;26249,00
13/10/2015;21,4;18,1;27,6;2,4;0;26523,00
14/10/2015;23,62;18,2;28,5;0;0;26793,00
15/10/2015;28,12;18,9;35,8;0;0;35861,00
16/10/2015;26,24;21,3;35,7;0;0;27387,00
17/10/2015;21,22;17,3;29,2;0;1;32666,00
18/10/2015;16,76;15,5;19,2;0,1;1;22199,00
19/10/2015;19,86;15,5;27,2;0;0;24000,00
20/10/2015;26,3;17,2;35,3;0;0;27871,00
21/10/2015;24,62;21,3;32;0;0;31139,00
22/10/2015;19,9;17,7;22,8;14,6;0;23065,00
23/10/2015;20,5;17,6;27,3;13,4;0;26594,00
24/10/2015;17,94;16,2;21,2;0;1;27657,00
25/10/2015;17,64;15,7;19,2;0;1;26594,00
26/10/2015;20,86;16;28,5;28,4;0;28084,00
27/10/2015;22;19,1;28,4;0,1;0;27582,00
28/10/2015;20,42;18,6;23,9;0;0;24862,00
29/10/2015;20,56;18,2;24,8;0;0;22634,00
30/10/2015;23,86;19,1;31,2;0;0;31649,00
31/10/2015;23,18;18,2;29,3;0;1;35781,00
01/11/2015;20,22;18,7;22,4;27,2;1;24429,00
02/11/2015;21,82;18,3;27,2;39,6;0;20648,00
03/11/2015;21,86;19,5;25,6;3,4;0;22741,00
04/11/2015;21,52;18,6;27,4;6,8;0;21479,00
05/11/2015;21,8;18,2;24,8;39,3;0;23134,00
06/11/2015;19,76;18;22,8;0;0;20575,00
07/11/2015;18,3;16,8;20;1,2;1;24330,00
08/11/2015;20,24;17,4;23,9;0,6;1;28610,00
09/11/2015;22,98;18,7;29,5;4,4;0;28456,00
10/11/2015;23,72;19,4;31,8;10,4;0;27964,00
11/11/2015;26,2;19,8;32,7;0;0;29569,00
12/11/2015;23,78;20,8;31,8;0;0;29267,00
13/11/2015;22,78;19,4;29,6;0;0;28647,00
14/11/2015;25,06;19,5;30,4;16,4;1;26836,00
15/11/2015;23,06;19,8;29,7;8;1;29386,00
16/11/2015;21,16;19,4;24,9;0;0;24609,00
17/11/2015;21,76;17,7;29,7;0;0;26964,00
18/11/2015;25,5;17,6;30,5;14,1;0;23614,00
19/11/2015;26,16;23,3;30,4;0;0;22960,00
20/11/2015;23,28;19,6;27;6,8;0;20332,00
21/11/2015;19,44;17,2;24,4;7,2;1;30392,00
22/11/2015;22,26;17,1;28,8;0;1;31933,00
23/11/2015;20,8;19,6;23,6;13,6;0;21662,00
24/11/2015;21,36;19,3;22,6;7;0;21689,00
25/11/2015;21,26;19,3;24,8;0,4;0;25119,00
26/11/2015;22,28;19;27,4;0;0;25285,00
27/11/2015;22,28;17,6;28,4;0;0;28979,00
28/11/2015;23,7;18,7;29,8;0;1;34382,00
29/11/2015;22,38;20,5;26;17,4;1;30617,00
30/11/2015;19,1;16,7;23,3;23,4;0;20238,00
01/12/2015;20,1;16,4;25,8;0;0;24529,00
02/12/2015;22,1;18,2;29,4;0;0;30471,00
03/12/2015;22,44;20,2;26,1;0;0;28405,00
04/12/2015;22,76;19;29,1;0;0;29513,00
05/12/2015;24,8;19,5;30,6;0,1;1;32451,00
06/12/2015;23,12;20,6;28;0,1;1;32780,00
07/12/2015;20,04;18;23,9;47,8;0;23375,00
08/12/2015;21,7;18;28;0;0;27713,00
09/12/2015;23,96;19,6;27,9;0;0;27137,00
10/12/2015;24;22,2;27,7;0;0;22933,00
11/12/2015;24,04;20,7;30,3;0;0;30740,00
12/12/2015;23,92;20,6;30,8;0;1;29579,00
13/12/2015;24,54;19,3;31;12,2;1;29188,00
14/12/2015;26,28;21,1;32,5;2;0;28131,00
15/12/2015;25,66;20,6;32,8;4;0;28617,00
16/12/2015;22,04;20,7;24,8;1,5;0;21062,00
17/12/2015;23,32;18,9;28,7;0;0;24337,00
18/12/2015;26,42;19,6;33,5;0,1;0;27042,00
19/12/2015;23,74;19,8;31,3;1,3;1;32536,00
20/12/2015;22,84;19,6;29;8,4;1;30127,00
21/12/2015;23,12;19,6;29,1;27,2;0;24834,00
22/12/2015;24,6;19,6;32,4;43;0;26828,00
23/12/2015;27,46;22,1;32,4;3;0;26468,00
24/12/2015;24,72;20,5;31,5;3,4;0;31572,00
25/12/2015;23,58;17,8;31;39;0;26308,00
26/12/2015;23,34;17,8;29,8;94,8;1;21955,00
27/12/2015;24;21,1;28,2;13,6;1;32307,00
28/12/2015;22,64;21,1;26,7;0;0;26095,00
29/12/2015;21,68;20,3;24,1;10,3;0;22309,00
30/12/2015;21,38;19,3;22,4;6,3;0;20467,00
31/12/2015;24,76;20,2;29;0;0;22446,00
